Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2014,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2015,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2016,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2017,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2018,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2019,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2020,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2021,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,Heat (Commercial),2022,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2000,16668.6,6511
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2001,17818.6,6971
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2002,20429.6,6855
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2003,24526.6,7424
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2004,28140.9,8622
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2005,28118,10504
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2006,32878,12977
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2007,38521.4,14747
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2008,40872,15948
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2009,47216.6,16248
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2010,20410.1,12242.36
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2011,15985.599,16689.082
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2012,52149,15256.19
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2013,113770.001,17841.92
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2014,60609.249,6535.007
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2015,166746.371,9423.613
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2016,224889.446,11157.514
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2017,301359.197,9386
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2018,305849.36,32440
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2019,320245.54,34404.147
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2020,364080,35849
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2021,353280,37137
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2022,225650,38196
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Fossil fuels n.e.s.,Fossil fuels n.e.s.,On-grid electricity,2023,0,39687
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,All types,2007,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,All types,2010,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,All types,2017,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2000,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2001,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2002,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2003,0,0
